width,floor,arm,shape,seed,windows_scored,accounts_distinct,account_windows,accounts_median,communities,communities_median,shown_account_windows,largest_community,windows,seconds,rss_mb,wall_s,day,window,present,recall,precision,fragments,community_rank,communities_in_window,burn_in
week,10,plant,light,0,,,,,,,,,1,6.3,413,7.1,2026-07-29,2026-07-27,0.0,0.0,0.0,0.0,,13.0,
week,10,plant,light,1,,,,,,,,,1,6.4,425,7.1,2026-09-08,2026-09-07,0.0,0.0,0.0,0.0,,7.0,
week,10,plant,light,2,,,,,,,,,1,6.2,377,7.2,2026-08-21,2026-08-17,0.16666666666666666,0.16666666666666666,1.0,1.0,,14.0,
week,10,plant,heavy,0,,,,,,,,,1,6.2,375,7.1,2026-07-29,2026-07-27,1.0,1.0,0.8,1.0,3.0,14.0,
week,10,plant,heavy,1,,,,,,,,,1,6.4,427,7.2,2026-09-08,2026-09-07,1.0,1.0,1.0,1.0,3.0,11.0,
week,10,plant,heavy,2,,,,,,,,,1,6.4,333,7.2,2026-08-21,2026-08-17,1.0,1.0,1.0,1.0,1.0,8.0,
week,10,null,,0,8.0,6548.0,9312.0,1213.0,113.0,14.0,9274.0,296.0,8,63.5,484,64.3,,,,,,,,,100.0
week,5,real,,0,8.0,3989.0,7384.0,915.0,125.0,13.5,6702.0,338.0,8,4.8,505,6.1,,,,,,,,,
week,5,plant,light,0,,,,,,,,,1,6.1,415,7.1,2026-07-29,2026-07-27,0.75,0.75,1.0,1.0,9.0,23.0,
week,5,plant,light,1,,,,,,,,,1,6.4,415,7.1,2026-09-08,2026-09-07,0.9166666666666666,0.9166666666666666,1.0,1.0,8.0,10.0,
week,5,plant,light,2,,,,,,,,,1,6.1,433,7.2,2026-08-21,2026-08-17,0.9166666666666666,0.9166666666666666,1.0,1.0,1.0,13.0,
week,5,plant,heavy,0,,,,,,,,,1,6.3,399,7.2,2026-07-29,2026-07-27,1.0,1.0,1.0,1.0,2.0,21.0,
week,5,plant,heavy,1,,,,,,,,,1,6.5,428,7.1,2026-09-08,2026-09-07,1.0,1.0,1.0,1.0,8.0,12.0,
week,5,plant,heavy,2,,,,,,,,,1,6.0,432,7.1,2026-08-21,2026-08-17,1.0,1.0,1.0,1.0,1.0,10.0,
week,5,null,,0,8.0,8343.0,13559.0,1771.0,125.0,15.0,13506.0,501.0,8,61.9,500,63.3,,,,,,,,,100.0
week,3,real,,0,8.0,5238.0,10487.0,1284.5,139.0,15.5,9977.0,283.0,8,5.1,515,6.1,,,,,,,,,
week,3,plant,light,0,,,,,,,,,1,6.1,435,7.2,2026-07-29,2026-07-27,1.0,1.0,0.9230769230769231,1.0,10.0,15.0,
week,3,plant,light,1,,,,,,,,,1,6.7,503,8.2,2026-09-08,2026-09-07,1.0,1.0,1.0,1.0,15.0,18.0,
week,3,plant,light,2,,,,,,,,,1,6.2,424,7.2,2026-08-21,2026-08-17,1.0,1.0,1.0,1.0,1.0,15.0,
week,3,plant,heavy,0,,,,,,,,,1,6.1,435,7.2,2026-07-29,2026-07-27,1.0,1.0,0.9090909090909091,1.0,3.0,15.0,
week,3,plant,heavy,1,,,,,,,,,1,6.5,451,7.2,2026-09-08,2026-09-07,1.0,1.0,1.0,1.0,12.0,16.0,
week,3,plant,heavy,2,,,,,,,,,1,6.0,438,7.1,2026-08-21,2026-08-17,1.0,1.0,1.0,1.0,1.0,13.0,
week,3,null,,0,8.0,10678.0,18708.0,2317.5,144.0,18.0,18556.0,1024.0,8,58.4,515,59.2,,,,,,,,,100.0
