seed_handle,seeds,echo_authors,seed_followers,echoed_components,in_coord_cluster
BlessedMorgaan,0,0,0,1,False
BlessedTrish01,0,0,0,1,False
BlessedZoeua,0,0,0,1,False
Bn2guru,0,0,0,1,False
BoardLotSultan,0,0,0,1,False
BobVigh79555,0,0,0,1,False
Bobby7201514,0,0,0,1,False
BonfaceOngeriW,0,0,0,1,False
BonnieGMwangi,0,0,0,1,True
Bosongo_,0,0,0,1,False
BrGikonyo,0,0,0,1,False
BrainsteinR,0,0,0,1,False
Bravo6xGoinDark,0,0,0,1,False
Brayden58657171,0,0,0,1,False
BrendaRupia,0,0,0,1,False
Brian49330447,0,0,0,1,False
BrianDecke92273,0,0,0,1,False
BrianKevinKe_,0,0,0,1,False
BrianMPeter,0,0,0,1,False
Brian_Malemo,0,0,0,1,False
Brianbabayao,0,0,0,1,False
Briankeating,0,0,0,1,False
Brianmbunde,0,0,0,1,False
Brianmosoti6,0,0,0,1,False
BroPeterBl71243,0,0,0,1,False
Broadbasedgal,0,0,0,1,False
Brown_niccur,0,0,0,1,False
BuddySpensa,0,0,0,1,False
Buddy_Cooley,0,0,0,1,False
BuildersCK,0,0,0,1,False
Bullet_0_1,0,0,0,1,False
BushmanBenO,0,0,0,1,True
CFC2027,0,0,0,1,False
CFCBen_X,0,0,0,1,False
CHRISMAINGI9,0,0,0,1,False
CWB_Research,0,0,0,1,False
CalebianR,0,0,0,1,False
CalistusManyon1,0,0,0,1,False
Calvin71618740,0,0,0,1,True
Cameljammer,0,0,0,1,False
Canine_World,0,0,0,1,False
Captain_SN7,0,0,0,1,False
CarlBotha2,0,0,0,1,False
CarolSkarlat,0,0,0,1,False
Casandrafaith25,0,0,0,1,False
Ch_ala_za,0,0,0,1,False
ChanzuuKe,0,0,0,1,False
CharityCas56937,0,0,0,1,False
Chessfactor,0,0,0,1,False
ChiefGodlove666,0,0,0,1,False
ChimpCapital007,0,0,0,1,False
Chok3man__,0,0,0,1,False
ChrisBr03460427,0,0,0,1,False
ChrisLynnHedges,0,0,0,1,False
Chris_Mmuriuki,0,0,0,1,False
CindyKarimi1,0,0,0,1,False
CipherVoss,0,0,0,1,False
CkanKing,0,0,0,1,False
Climakheti,0,0,0,1,True
ClintonObonyo,0,0,0,1,False
CoastNewspaper,0,0,0,1,False
CodeMetalai,0,0,0,1,False
Coll_Hoe,0,0,0,1,False
CollinsMakari,0,0,0,1,False
ConfortiRomeu,0,0,0,1,False
ConradKulo,0,0,0,1,False
Considerlater,0,0,0,1,False
ContinuityGK,0,0,0,1,False
CoolkidMike5,0,0,0,1,False
CptHarrisjnr,0,0,0,1,False
CryptoniteK,0,0,0,1,False
Crystaly254,0,0,0,1,False
CyclistlaneKE,0,0,0,1,True
DCI_Kenya,0,0,0,1,False
DCP_Democracy,0,0,0,1,False
DK_Able,0,0,0,1,False
DMainaNdungu,0,0,0,1,False
DSAForg,0,0,0,1,False
DadyJoseph6,0,0,0,1,False
Daguitarprince2,0,0,0,1,False
DailyBanterMeme,0,0,0,1,False
DanKornas,0,0,0,1,False
DanTheZionist,0,0,0,1,False
Dannkasina,0,0,0,1,True
DansonMwashako,0,0,0,1,False
Dante_Detrixx,0,0,0,1,False
Daudinemsis,0,0,0,1,False
DavidGakuo3,0,0,0,1,False
DavidKongo7,0,0,0,1,False
DavisOpiyo38308,0,0,0,1,False
Dawood_Ide,0,0,0,1,False
Dazztrazz1,0,0,0,1,False
DeSantinoh,0,0,0,1,False
De_Cyola,0,0,0,1,False
DefiyantlyFree,0,0,0,1,False
DehMao,0,0,0,1,False
DejaZ00,0,0,0,1,False
Den4oscar,0,0,0,1,False
Denisfxkenya,0,0,0,1,False
DennisS83542841,0,0,0,1,False
DenoRight,0,0,0,1,False
Denzinoh,0,0,0,1,False
Derek99760275,0,0,0,1,False
Dictatorvoice,0,0,0,1,False
DimasikUSDT,0,0,0,1,False
DiocresiD,0,0,0,1,False
DiploBrief,0,0,0,1,False
Disembe,0,0,0,1,False
DismasKiprop16,0,0,0,1,False
DjDjblaq1419069,0,0,0,1,False
Donn_Patriot,0,0,0,1,False
Donn_fulltime,0,0,0,1,False
DoreenNyanjura,0,0,0,1,False
Dr83Kinga,0,0,0,1,False
DrBKhalwale,0,0,0,1,False
DrBakariNgengi,0,0,0,1,False
DrCyrilo,0,0,0,1,False
DrMumbiSeraki,0,0,0,1,False
DrOparanya,0,0,0,1,False
DrSFerHH,0,0,0,1,False
DrWojakMD,0,0,0,1,False
Dr_Buchu,0,0,0,1,False
Dr_Kwach,0,0,0,1,True
Dreugenem,0,0,0,1,False
Duke_Of_Pokot,0,0,0,1,False
DullachaD200,0,0,0,1,False
