platform_user_id,coord_cluster,fast_replier,seeder,awakened,regular,fringe_seed,suspicion,n_lenses,handle,followers_count,verified
3303451074,True,False,False,False,False,False,False,1,MwaniaSimon30,4484,False
2274272826,True,False,False,False,False,False,False,1,aggrey2015,4486,False
775824115173326848,True,False,False,False,False,False,False,1,z_Kiarie,4591,False
1808419253915123712,True,False,False,False,False,False,False,1,omwoyos42,4624,False
82932496,True,False,False,False,False,False,False,1,mi6rima,4913,False
1325409326983499776,True,False,False,False,False,False,False,1,daphyso,4968,False
3130133609,True,False,False,False,False,False,False,1,Gitaooh,5055,False
1542895627335618567,True,False,False,False,False,False,False,1,NyabasaDanvas,5138,False
1656642315597799424,True,False,False,False,False,False,False,1,Traviss789,5251,False
1940628004297654272,True,False,False,False,False,False,False,1,cloudyraven4,5276,False
861985680305643522,True,False,False,False,False,False,False,1,kolloo254,5293,False
517322421,True,False,False,False,False,False,False,1,fwelloh,5321,False
1623352789932953601,False,False,True,False,False,False,False,1,Chipukizii,5481,False
1555220705872052224,True,False,False,False,False,False,False,1,dannyobhai,5484,False
1958073722453078016,True,False,False,False,False,False,False,1,Mataya_Kev,5544,False
1237636650311835649,True,False,False,False,False,False,False,1,Mkenyazgn,5562,False
460178620,False,False,True,False,False,False,False,1,GunnerAfrican,5580,False
1778554939930730496,True,False,False,False,False,False,False,1,Samk372,5884,False
1859354378865709056,True,False,False,False,False,False,False,1,kylelviskimani,6098,False
1893173304338313216,False,False,True,False,False,False,False,1,RadioGenKe,6106,False
974588586443108353,True,False,False,False,False,False,False,1,iMuthembaa,6128,False
1319877376977833985,True,False,False,False,False,False,False,1,hivileo1,6243,False
1395352268573233160,True,False,False,False,False,False,False,1,Shemido1,6299,False
1878725168702406656,True,False,False,False,False,False,False,1,fourtheyenews,6327,False
2457302703,True,False,False,False,False,False,False,1,Sir6in9,6448,False
1558498542825644032,True,False,False,False,False,False,False,1,ItsYasin_,6781,False
1341331894416396288,True,False,False,False,False,False,False,1,KorosGeoPol,6885,False
2950799237,True,False,False,False,False,False,False,1,MartinMKivuva,6981,False
2019646437860990976,True,False,False,False,False,False,False,1,lenyzhelen,7026,False
1596098360250929153,True,False,False,False,False,False,False,1,MasseyRalson,7094,False
716890432584683520,True,False,False,False,False,False,False,1,gabrielmandere,7136,False
1158833763939475456,True,False,False,False,False,False,False,1,WuodAbilla,7333,False
870875821656993792,True,False,False,False,False,False,False,1,joncaleaf1,7519,False
1233093365912231938,False,False,True,False,False,False,False,1,Nairobi_Leo,7540,False
1080843773373005830,False,False,True,False,False,False,False,1,UzalendoNews_KE,8018,False
761832225918844928,False,False,True,False,False,False,False,1,reddyMoney54,8239,False
1650903311028043794,False,False,True,False,False,False,False,1,Lightcasttvke,8325,False
1101532737834500099,True,False,False,False,False,False,False,1,Ndaba020,8505,False
835147317447700480,True,False,False,False,False,False,False,1,cjnyongesa,8752,False
1103630938112708614,True,False,False,False,False,False,False,1,OMosembe,8764,False
2030601390796738560,True,False,False,False,False,False,False,1,aab26_,8823,False
1820890202120065024,True,False,False,False,False,False,False,1,kingfula_evans,8895,False
1638539239796121601,True,False,False,False,False,False,False,1,Tweetsbyblair,8922,False
2158469110,True,False,False,False,False,False,False,1,DirectorKenito,9523,False
1617536539960950785,True,False,False,False,False,False,False,1,_viviannnnee,9782,False
171145213,True,False,False,False,False,False,False,1,Cherub_Rock_23,9985,False
1428988750001053701,True,False,False,False,False,False,False,1,PurpleRain69824,10209,False
546678347,True,False,False,False,False,False,False,1,Fredengosia,10267,False
2828146931,True,False,False,False,False,False,False,1,gwamaee,10307,False
1669410612751810573,True,False,False,False,False,False,False,1,pakameoww,10418,False
2273232623,True,False,False,False,False,False,False,1,Omushevi,10431,False
1050808802453393409,True,False,False,False,False,False,False,1,Denis_544,10573,False
1362012386744553477,False,False,False,False,False,False,True,1,aguchrieko,10774,False
398847226,False,False,True,False,False,False,False,1,abbiezuena,10857,False
1834256103703805952,True,False,False,False,False,False,False,1,HKebeya,10875,False
1650515383709728773,True,False,False,False,False,False,False,1,035Orion,10979,False
1545883199414452224,True,False,False,False,False,False,False,1,bllymuhandis,11013,False
911779128,True,False,False,False,False,False,False,1,seniorCj_,11750,False
1936153401324089344,True,False,False,False,False,False,False,1,NnamdiHQ_,11958,False
428930828,True,False,False,False,False,False,False,1,slmshady21,12047,False
2195601763,True,False,False,False,False,False,False,1,felixronohh,12094,False
1625230473663225880,True,False,False,False,False,False,False,1,Babalucky254,12122,False
1579908781009428493,True,False,False,False,False,False,False,1,PrezidentJafar,12186,False
750612891812978688,True,False,False,False,False,False,False,1,Omondimikeoo,12277,False
861220868973895680,True,False,False,False,False,False,False,1,Its_kipchumba,12596,False
1635520529078550528,True,False,False,False,False,False,False,1,Linet_Onyi,12884,False
573748977,True,False,False,False,False,False,False,1,YoungSwoosh_,13162,False
1752225129797447680,True,False,False,False,False,False,False,1,Wangari_Anita_,13223,False
1428997506290098177,True,False,False,False,False,False,False,1,Jesseabisheck,13679,False
1328082221161455616,True,False,False,False,False,False,False,1,CollinsLautani,13699,False
1670926223080341508,True,False,False,False,False,False,False,1,Amazingmasai_,13879,False
1564197387693969409,True,False,False,False,False,False,False,1,Tweets_by_maia,13907,False
1602988101747482624,True,False,False,False,False,False,False,1,eger_ke,14453,False
115086941,True,False,False,False,False,False,False,1,Dannkasina,14492,False
1426459891946954756,True,False,False,False,False,False,False,1,manucho_045,14593,False
1593196004240760834,True,False,False,False,False,False,False,1,Chairman_NBO,15363,False
1226169749425532928,True,False,False,False,False,False,False,1,Fantasy_Genius2,15454,False
895681346605109249,False,False,True,False,False,False,False,1,CaptainKipkorir,15806,False
1972579188,False,False,True,False,False,False,False,1,Obuchunju,15980,False
1807061951832334338,False,False,True,False,False,False,False,1,newto_code_14,15986,False
281162637,True,False,False,False,False,False,False,1,Camundih,15990,False
989865947140902913,True,False,False,False,False,False,False,1,ElkanahMbaka,16274,False
814743475044450304,True,False,False,False,False,False,False,1,muriaso,17056,False
4234413022,True,False,False,False,False,False,False,1,T_roses1,17445,False
713022379065221121,True,False,False,False,False,False,False,1,IoWBobSeely,19073,False
1273474058227720193,False,False,True,False,False,False,False,1,DrJuma_M,19675,False
4509781935,True,False,False,False,False,False,False,1,brian_mutiga,19852,False
3029597271,True,False,False,False,False,False,False,1,AceNyakundi,20042,False
1174637589699223552,True,False,False,False,False,False,False,1,OguguRobert,20187,False
779214331045089280,False,False,True,False,False,False,False,1,kiambu_magazine,20335,False
1547082084417945600,True,False,False,False,False,False,False,1,Kaikainaipaa,22865,False
1531187843262996481,False,False,True,False,False,False,False,1,Her_agape,23818,False
1286206818650292224,True,False,False,False,False,False,False,1,BenGrahamUK,23890,False
1257705953430056965,True,False,False,False,False,False,False,1,Wanjiru2027,29036,False
1363064310956765189,True,False,False,False,False,False,False,1,mchachu_,30562,False
1717882363076628481,True,False,False,False,False,False,False,1,thee_alfa_house,32121,False
1428714611197595649,True,False,False,False,False,False,False,1,MrKifaki,32371,False
1498339656726892544,False,False,True,False,False,False,False,1,thekenyatimes,34378,False
1560391849881247745,True,False,False,False,False,False,False,1,Onkundi01,36172,False
271456846,True,False,False,False,False,False,False,1,kingethuk,36924,False
1148050266945654784,True,False,False,False,False,False,False,1,AnuarSaddat,38476,False
1585715145065504769,True,False,False,False,False,False,False,1,Realmwaks,43184,False
1237740934852476928,True,False,False,False,False,False,False,1,GathogoBMwangi,43561,False
1385316065761243136,True,False,False,False,False,False,False,1,Retweet_tablike,44467,False
1009103335633367040,True,False,False,False,False,False,False,1,claudiowangu,47410,False
851905436580229121,False,False,True,False,False,False,False,1,Isaac_Otwoma,47862,False
1201601494052753409,True,False,False,False,False,False,False,1,Dennis_Itumbi02,52841,False
958110765633990656,True,False,False,False,False,False,False,1,ian_kimaru,83599,False
1552257547465363456,False,False,True,False,False,False,False,1,KahawaTungu,85749,False
1135266084100235265,False,False,True,False,False,False,False,1,_zack255,94504,False
824295261065347072,True,False,False,False,False,False,False,1,CaptainDominicO,96838,False
142631451,False,False,True,False,False,False,False,1,_KithureKindiki,99052,False
136274193,True,False,False,False,False,False,False,1,Pietros1,112928,False
862980542,True,False,False,False,False,False,False,1,BenjiNdolo,117317,False
1382991485105233926,True,False,False,False,False,False,False,1,marto254_,141546,False
1078347244661850118,True,False,False,False,False,False,False,1,Naomikibandi,143175,False
1236976081753845760,True,False,False,False,False,False,False,1,Kibet_bull,161164,False
2192517411,False,False,True,False,False,False,False,1,PropesaTv,167649,False
1486941006444515332,False,False,True,False,False,False,False,1,KenyanSays,209885,False
811288105,True,False,False,False,False,False,False,1,_Jaredad,226494,False
466376163,False,False,True,False,False,False,False,1,PeopleDailyKe,241444,False
2413857985,False,False,True,False,False,False,False,1,moneyacademyKE,480320,False
4889202337,False,False,True,False,False,False,False,1,WilliamsMkenya,623609,False
1057902407655526400,False,False,True,False,False,False,False,1,KTNNewsKE,879242,False
248697646,False,False,True,False,False,False,False,1,KBCChannel1,937904,False
2673303382,False,False,True,False,False,False,False,1,HildaNewton21,955260,False
845269795033534466,False,False,True,False,False,False,False,1,rigathi,1089243,False
854653102389170176,False,False,True,False,False,False,False,1,omwambaKE,1319220,False
343326011,False,False,True,False,False,False,False,1,TheStarKenya,2416897,False
53037279,False,False,True,False,False,False,False,1,StandardKenya,2732828,False
38737371,False,False,True,False,False,False,False,1,Kenyans,2736594,False
256136003,False,False,True,False,False,False,False,1,kipmurkomen,2943022,False
20087934,False,False,True,False,False,False,False,1,K24Tv,3217136,False
25979455,False,False,True,False,False,False,False,1,NationAfrica,4265144,False
25985333,False,False,True,False,False,False,False,1,ntvkenya,5352508,False
70394965,False,False,True,False,False,False,False,1,citizentvkenya,6853809,False
